City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,smithers,54.7804,-127.1743,-3.82,86,100,2.06,CA,1702684208
1,hadibu,12.65,54.0333,24.61,65,95,7.5,YE,1702684208
2,san patricio,28.017,-97.5169,21.41,91,97,3.05,US,1702684208
3,kingston,17.997,-76.7936,27.53,84,75,4.12,JM,1702684208
4,margaret river,-33.95,115.0667,19.35,44,91,3.85,AU,1702684208
5,tutoia,-2.7619,-42.2744,27.31,84,39,6.34,BR,1702684209
6,callao,-12.0667,-77.15,23.16,68,0,6.17,PE,1702684209
7,mysen,59.5535,11.3258,0.17,98,99,1.69,NO,1702684209
8,ribeira grande,38.5167,-28.7,19.32,97,100,9.39,PT,1702684209
9,mulayjah,27.271,48.4242,13.37,40,0,4.13,SA,1702684209
10,blackmans bay,-43.0167,147.3167,14.29,67,93,0.89,AU,1702684210
11,mount pearl,47.5166,-52.7813,2.26,87,100,12.35,CA,1702684210
12,lihue,21.9789,-159.3672,25.58,61,75,8.75,US,1702684210
13,la maddalena,41.2142,9.4083,13.03,64,2,10.62,IT,1702684210
14,usinsk,65.9939,57.5281,-11.07,91,100,7.15,RU,1702684210
15,grytviken,-54.2811,-36.5092,6.55,92,98,5.66,GS,1702684210
16,east london,-33.0153,27.9116,19.36,85,99,3.23,ZA,1702684211
17,newman,37.3138,-121.0208,18.13,57,100,0.89,US,1702684211
18,keningau,5.3378,116.1602,23.84,94,42,0.88,MY,1702684211
19,ushuaia,-54.8,-68.3,7.81,81,40,1.54,AR,1702684211
20,mana,5.6592,-53.7767,25.76,88,86,3.87,GF,1702684211
21,lebu,-37.6167,-73.65,13.91,70,100,5.96,CL,1702684212
22,el galpon,-25.3807,-64.6526,29.74,56,8,1.35,AR,1702684212
23,west island,-12.1568,96.8225,25.99,83,68,4.63,CC,1702684212
24,inhambane,-23.865,35.3833,25.62,90,100,2.37,MZ,1702684212
25,lingdong,46.5669,131.1453,-20.01,76,100,2.82,CN,1702684212
26,inari,68.906,27.0288,-7.89,98,86,2.85,FI,1702684213
27,zorritos,-3.6805,-80.6782,27.16,75,97,2.8,PE,1702684213
28,roma,43.2128,-75.4557,8.79,70,0,3.6,US,1702684213
29,roses,42.262,3.1769,12.28,59,2,11.18,ES,1702684213
30,port-aux-francais,-49.35,70.2167,6.67,94,89,13.7,TF,1702684214
31,puerto natales,-51.7236,-72.4875,7.77,71,5,1.35,CL,1702684166
32,yemetsk,63.4721,41.7941,-10.37,97,100,1.17,RU,1702684214
33,yuzhno-kurilsk,44.0306,145.8556,-2.57,69,97,1.93,RU,1702684214
34,atafu village,-8.5421,-172.5159,28.31,81,88,4.83,TK,1702684214
35,leninskoye,41.7589,69.3864,-1.21,91,100,1.3,KZ,1702684214
36,bredasdorp,-34.5322,20.0403,15.76,91,6,2.18,ZA,1702684215
37,hawaiian paradise park,19.5933,-154.9731,23.82,69,75,5.14,US,1702684215
38,kayangel,8.0823,134.7173,28.48,82,100,12.3,PW,1702684215
39,lexington park,38.2668,-76.4538,7.58,65,0,0.0,US,1702684215
40,magadan,59.5667,150.8,-13.59,79,100,5.73,RU,1702684215
41,richards bay,-28.783,32.0377,19.81,97,100,2.46,ZA,1702683964
42,la ronge,55.1001,-105.2842,0.14,47,0,4.12,CA,1702684216
43,edinburgh of the seven seas,-37.0676,-12.3116,14.32,81,95,6.55,SH,1702684216
44,badger,64.8,-147.5333,-18.99,72,100,0.0,US,1702684216
45,adamstown,-25.066,-130.1015,22.71,80,18,7.02,PN,1702684216
46,flying fish cove,-10.4217,105.6791,23.82,88,40,1.03,CX,1702684216
47,kapoeta,4.7717,33.5903,26.22,60,20,2.35,SS,1702684216
48,kargasok,59.0556,80.8572,-16.01,95,99,4.1,RU,1702684217
49,yellowknife,62.456,-114.3525,-8.66,96,75,2.57,CA,1702684217
50,bamboo flat,11.7,92.7167,27.05,83,20,4.12,IN,1702684217
51,kisangani,0.5167,25.2,22.1,71,56,1.12,CD,1702684217
52,lae,-6.7221,146.9847,29.37,81,100,2.93,PG,1702684217
53,longyearbyen,78.2186,15.6401,-1.09,69,40,6.69,SJ,1702684218
54,waitangi,-43.9535,-176.5597,17.12,95,57,6.04,NZ,1702684218
55,cidreira,-30.1811,-50.2056,23.49,93,100,5.07,BR,1702684218
56,iqaluit,63.7506,-68.5145,-13.15,60,75,7.72,CA,1702684218
57,siwa oasis,29.2041,25.5195,15.39,51,53,2.77,EG,1702684218
58,kant,27.8,79.8,13.11,35,57,1.85,IN,1702684219
59,kamaishi,39.2667,141.8833,7.26,92,100,1.58,JP,1702684219
60,iskateley,67.6803,53.1512,-13.88,92,99,5.36,RU,1702684219
61,lisala,2.15,21.5167,20.8,67,94,0.53,CD,1702684220
62,bethel,41.3712,-73.414,10.93,59,0,2.06,US,1702684220
63,isafjordur,66.0755,-23.124,0.89,68,73,8.43,IS,1702684221
64,vangviang,18.9333,102.45,19.95,82,65,1.32,LA,1702684221
65,avarua,-21.2078,-159.775,25.03,94,100,3.6,CK,1702683938
66,gland,46.4208,6.2701,4.59,86,17,4.36,CH,1702684221
67,danjiangkou,32.5428,111.5086,0.47,48,100,2.35,CN,1702684221
68,contai,21.7786,87.7536,14.84,57,0,3.37,IN,1702684222
69,khandyga,62.6667,135.6,-42.3,100,97,1.13,RU,1702684222
70,kalemie,-5.9475,29.1947,21.53,88,86,0.52,CD,1702684222
71,bang saphan,11.2126,99.5117,23.7,85,55,1.38,TH,1702684222
72,vadso,70.0744,29.7487,-5.91,86,75,8.23,NO,1702684223
73,st. john's,47.5649,-52.7093,2.72,87,100,12.35,CA,1702684001
74,alatri,41.7306,13.3402,6.94,74,82,2.18,IT,1702684223
75,tolanaro,-25.0319,46.9987,26.04,89,20,7.2,MG,1702684223
76,san antonio de pale,-1.4014,5.6325,27.55,78,74,3.19,GQ,1702684223
77,walvis bay,-22.9575,14.5053,15.61,82,67,2.57,,1702684224
78,kichmengskiy gorodok,59.9816,45.7854,-8.92,94,100,4.47,RU,1702684224
79,bel ombre,-4.6167,55.4167,26.91,78,75,2.06,SC,1702684224
80,kapa'a,22.0752,-159.319,25.99,69,75,8.75,US,1702684224
81,udachny,66.4167,112.4,-30.31,74,95,2.21,RU,1702684225
82,rosa zarate,0.3333,-79.4667,25.03,92,98,1.25,EC,1702684225
83,cascais,38.6979,-9.4215,14.47,69,20,8.05,PT,1702683983
84,languyan,5.2618,120.0807,27.94,78,53,3.07,PH,1702684225
85,magdalena,14.1999,121.429,24.64,80,46,3.02,PH,1702684226
86,egilsstadir,65.2653,-14.3948,1.95,75,20,8.75,IS,1702684226
87,tiksi,71.6872,128.8694,-24.57,100,100,3.07,RU,1702684226
88,bikenibeu village,1.3673,173.1241,25.98,94,75,2.57,KI,1702684226
89,anadyr,64.75,177.4833,-10.72,66,0,11.62,RU,1702684227
90,albany,42.6001,-73.9662,7.02,76,11,3.96,US,1702683930
91,alofi,-19.0595,-169.9187,27.94,78,75,5.66,NU,1702684227
92,wailua homesteads,22.0669,-159.378,25.24,69,75,8.75,US,1702684227
93,uturoa,-16.7333,-151.4333,27.68,80,89,8.13,PF,1702684227
94,dudinka,69.4058,86.1778,-21.29,99,100,5.81,RU,1702684228
95,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,73,40,12.07,RU,1702684228
96,huanggang,23.677,116.9996,15.94,73,84,5.63,CN,1702684228
97,ancud,-41.8697,-73.8203,12.97,81,100,9.81,CL,1702684228
98,jieshi,22.8134,115.8257,15.26,70,79,8.81,CN,1702684229
99,ambon,-3.6954,128.1814,27.08,89,40,3.6,ID,1702684229
100,aasiaat,68.7098,-52.8699,-23.96,91,36,3.81,GL,1702684229
101,port lincoln,-34.7333,135.8667,18.07,60,12,4.8,AU,1702684229
102,temiskaming shores,47.4938,-79.7153,3.89,88,100,3.16,CA,1702684230
103,puerto ayora,-0.7393,-90.3518,24.75,92,58,1.34,EC,1702684230
104,olonkinbyen,70.9221,-8.7187,0.09,98,100,19.18,SJ,1702684230
105,valdivia,-39.8142,-73.2459,15.05,76,81,2.94,CL,1702684230
106,cambria,35.5641,-121.0808,23.41,53,100,0.82,US,1702684231
107,whitehorse,60.7161,-135.0538,-8.57,73,20,4.12,CA,1702684231
108,nemuro,43.3236,145.575,0.93,82,96,5.31,JP,1702684231
109,papatowai,-46.5619,169.4708,13.83,69,100,4.46,NZ,1702684231
110,altai,46.3722,96.2583,-22.86,70,0,0.28,MN,1702684231
111,prado,-17.3411,-39.2208,24.43,90,1,2.53,BR,1702684232
112,ghat,24.9647,10.1728,10.54,41,0,3.17,LY,1702684232
